Uploading LFS objects:   0% (0/1), 0 B | 0 B/s                                  
Uploading LFS objects:   0% (1/1575), 2.9 MB | 0 B/s                            
Uploading LFS objects:   6% (101/1575), 31 MB | 0 B/s                           
Uploading LFS objects:  13% (200/1575), 85 MB | 0 B/s                           
Uploading LFS objects:  13% (200/1575), 85 MB | 0 B/s                           
Uploading LFS objects:  13% (200/1575), 86 MB | 0 B/s                           
Uploading LFS objects:  13% (200/1575), 86 MB | 0 B/s                           
Uploading LFS objects:  13% (200/1575), 86 MB | 0 B/s                           
Uploading LFS objects:  13% (200/1575), 87 MB | 879 KB/s                        
Uploading LFS objects:  13% (200/1575), 89 MB | 879 KB/s                        
Uploading LFS objects:  13% (200/1575), 90 MB | 879 KB/s                        
Uploading LFS objects:  13% (200/1575), 91 MB | 879 KB/s                        
Uploading LFS objects:  13% (200/1575), 91 MB | 1.8 MB/s                        
Uploading LFS objects:  13% (200/1575), 92 MB | 1.8 MB/s                        
Uploading LFS objects:  13% (200/1575), 93 MB | 1.8 MB/s                        
Uploading LFS objects:  13% (200/1575), 95 MB | 2.0 MB/s                        
Uploading LFS objects:  13% (200/1575), 95 MB | 2.0 MB/s                        
Uploading LFS objects:  13% (200/1575), 96 MB | 2.0 MB/s                        
Uploading LFS objects:  13% (200/1575), 97 MB | 2.0 MB/s                        
Uploading LFS objects:  13% (200/1575), 98 MB | 2.2 MB/s                        
Uploading LFS objects:  13% (200/1575), 99 MB | 2.2 MB/s                        
Uploading LFS objects:  13% (200/1575), 100 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 101 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 103 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 103 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 104 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 105 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 105 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 106 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 108 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 108 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 109 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 110 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 110 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (200/1575), 111 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (201/1575), 113 MB | 2.2 MB/s                       
Uploading LFS objects:  13% (201/1575), 114 MB | 2.3 MB/s                       
Uploading LFS objects:  13% (201/1575), 115 MB | 2.3 MB/s                       
Uploading LFS objects:  13% (201/1575), 116 MB | 2.3 MB/s                       
Uploading LFS objects:  13% (201/1575), 117 MB | 2.3 MB/s                       
